alpha,cv,misclass
0.000,0.020,0.1267
0.100,0.020,0.1233
0.200,0.020,0.1600
0.300,0.020,0.3533
0.400,0.020,0.4467
0.500,0.020,0.2200
0.600,0.020,0.2967
0.700,0.020,0.3300
0.800,0.020,0.0067
0.900,0.020,0.0000
1.000,0.020,0.0000
1.100,0.020,0.0000
1.200,0.020,0.0000
1.300,0.020,0.0300
1.400,0.020,0.0400
1.500,0.020,0.0000
1.600,0.020,0.0000
1.700,0.020,0.0033
1.800,0.020,0.0000
1.900,0.020,0.0000
2.000,0.020,0.0000
0.000,0.040,0.1267
0.100,0.040,0.1267
0.200,0.040,0.1767
0.300,0.040,0.3433
0.400,0.040,0.5033
0.500,0.040,0.3933
0.600,0.040,0.4200
0.700,0.040,0.4167
0.800,0.040,0.1700
0.900,0.040,0.0133
1.000,0.040,0.0000
1.100,0.040,0.0000
1.200,0.040,0.0033
1.300,0.040,0.1400
1.400,0.040,0.2533
1.500,0.040,0.0000
1.600,0.040,0.0467
1.700,0.040,0.1333
1.800,0.040,0.0000
1.900,0.040,0.0000
2.000,0.040,0.0000
0.000,0.060,0.1267
0.100,0.060,0.1233
0.200,0.060,0.1933
0.300,0.060,0.3400
0.400,0.060,0.5467
0.500,0.060,0.4300
0.600,0.060,0.4600
0.700,0.060,0.4500
0.800,0.060,0.2333
0.900,0.060,0.0800
1.000,0.060,0.0067
1.100,0.060,0.0067
1.200,0.060,0.0367
1.300,0.060,0.2033
1.400,0.060,0.3833
1.500,0.060,0.0400
1.600,0.060,0.1000
1.700,0.060,0.2967
1.800,0.060,0.0000
1.900,0.060,0.0000
2.000,0.060,0.0000
0.000,0.080,0.1267
0.100,0.080,0.1300
0.200,0.080,0.1967
0.300,0.080,0.3100
0.400,0.080,0.5533
0.500,0.080,0.4567
0.600,0.080,0.4633
0.700,0.080,0.4800
0.800,0.080,0.2667
0.900,0.080,0.1133
1.000,0.080,0.0367
1.100,0.080,0.0167
1.200,0.080,0.0667
1.300,0.080,0.2200
1.400,0.080,0.4600
1.500,0.080,0.1200
1.600,0.080,0.1367
1.700,0.080,0.3967
1.800,0.080,0.0233
1.900,0.080,0.0000
2.000,0.080,0.0000
0.000,0.100,0.1267
0.100,0.100,0.1333
0.200,0.100,0.1900
0.300,0.100,0.3133
0.400,0.100,0.5600
0.500,0.100,0.4633
0.600,0.100,0.4567
0.700,0.100,0.4767
0.800,0.100,0.2800
0.900,0.100,0.1333
1.000,0.100,0.0567
1.100,0.100,0.0367
1.200,0.100,0.0800
1.300,0.100,0.2233
1.400,0.100,0.4767
1.500,0.100,0.1867
1.600,0.100,0.1733
1.700,0.100,0.4533
1.800,0.100,0.1200
1.900,0.100,0.0000
2.000,0.100,0.0000
0.000,0.120,0.1267
0.100,0.120,0.1333
0.200,0.120,0.1933
0.300,0.120,0.3133
0.400,0.120,0.5733
0.500,0.120,0.4767
0.600,0.120,0.4767
0.700,0.120,0.4700
0.800,0.120,0.2833
0.900,0.120,0.1400
1.000,0.120,0.0700
1.100,0.120,0.0467
1.200,0.120,0.0900
1.300,0.120,0.2333
1.400,0.120,0.5000
1.500,0.120,0.2500
1.600,0.120,0.2067
1.700,0.120,0.5100
1.800,0.120,0.1567
1.900,0.120,0.0067
2.000,0.120,0.0000
0.000,0.140,0.1267
0.100,0.140,0.1367
0.200,0.140,0.1933
0.300,0.140,0.3133
0.400,0.140,0.5633
0.500,0.140,0.5000
0.600,0.140,0.4800
0.700,0.140,0.4700
0.800,0.140,0.2933
0.900,0.140,0.1600
1.000,0.140,0.0833
1.100,0.140,0.0633
1.200,0.140,0.1100
1.300,0.140,0.2233
1.400,0.140,0.5333
1.500,0.140,0.2733
1.600,0.140,0.2567
1.700,0.140,0.5333
1.800,0.140,0.2167
1.900,0.140,0.0267
2.000,0.140,0.0000
0.000,0.160,0.1233
0.100,0.160,0.1300
0.200,0.160,0.1933
0.300,0.160,0.3200
0.400,0.160,0.5733
0.500,0.160,0.4933
0.600,0.160,0.4800
0.700,0.160,0.4767
0.800,0.160,0.2967
0.900,0.160,0.1733
1.000,0.160,0.0967
1.100,0.160,0.0767
1.200,0.160,0.1200
1.300,0.160,0.2233
1.400,0.160,0.5467
1.500,0.160,0.3233
1.600,0.160,0.2833
1.700,0.160,0.5667
1.800,0.160,0.2667
1.900,0.160,0.0600
2.000,0.160,0.0000
0.000,0.180,0.1267
0.100,0.180,0.1300
0.200,0.180,0.2033
0.300,0.180,0.3300
0.400,0.180,0.5700
0.500,0.180,0.4967
0.600,0.180,0.4933
0.700,0.180,0.4667
0.800,0.180,0.2967
0.900,0.180,0.1767
1.000,0.180,0.1000
1.100,0.180,0.0767
1.200,0.180,0.1367
1.300,0.180,0.2300
1.400,0.180,0.5567
1.500,0.180,0.3367
1.600,0.180,0.3033
1.700,0.180,0.5800
1.800,0.180,0.3167
1.900,0.180,0.1233
2.000,0.180,0.0067
0.000,0.200,0.1200
0.100,0.200,0.1333
0.200,0.200,0.2100
0.300,0.200,0.3400
0.400,0.200,0.5533
0.500,0.200,0.4833
0.600,0.200,0.4933
0.700,0.200,0.4700
0.800,0.200,0.2933
0.900,0.200,0.1800
1.000,0.200,0.1000
1.100,0.200,0.0767
1.200,0.200,0.1433
1.300,0.200,0.2400
1.400,0.200,0.5633
1.500,0.200,0.3633
1.600,0.200,0.3133
1.700,0.200,0.5867
1.800,0.200,0.3667
1.900,0.200,0.1400
2.000,0.200,0.0167
0.000,0.220,0.1133
0.100,0.220,0.1333
0.200,0.220,0.2200
0.300,0.220,0.3533
0.400,0.220,0.5467
0.500,0.220,0.4767
0.600,0.220,0.4900
0.700,0.220,0.4667
0.800,0.220,0.3000
0.900,0.220,0.1733
1.000,0.220,0.1000
1.100,0.220,0.0800
1.200,0.220,0.1467
1.300,0.220,0.2433
1.400,0.220,0.5533
1.500,0.220,0.3900
1.600,0.220,0.3300
1.700,0.220,0.6033
1.800,0.220,0.3867
1.900,0.220,0.1867
2.000,0.220,0.0467
0.000,0.240,0.1133
0.100,0.240,0.1400
0.200,0.240,0.2233
0.300,0.240,0.3700
0.400,0.240,0.5367
0.500,0.240,0.4733
0.600,0.240,0.4900
0.700,0.240,0.4667
0.800,0.240,0.3033
0.900,0.240,0.1833
1.000,0.240,0.1000
1.100,0.240,0.0800
1.200,0.240,0.1500
1.300,0.240,0.2533
1.400,0.240,0.5600
1.500,0.240,0.4033
1.600,0.240,0.3333
1.700,0.240,0.6233
1.800,0.240,0.4133
1.900,0.240,0.2133
2.000,0.240,0.0833
0.000,0.260,0.1167
0.100,0.260,0.1467
0.200,0.260,0.2333
0.300,0.260,0.3867
0.400,0.260,0.5333
0.500,0.260,0.4567
0.600,0.260,0.5000
0.700,0.260,0.4667
0.800,0.260,0.2933
0.900,0.260,0.1833
1.000,0.260,0.1067
1.100,0.260,0.0867
1.200,0.260,0.1533
1.300,0.260,0.2533
1.400,0.260,0.5633
1.500,0.260,0.4133
1.600,0.260,0.3400
1.700,0.260,0.6300
1.800,0.260,0.4433
1.900,0.260,0.2500
2.000,0.260,0.1200
0.000,0.280,0.1067
0.100,0.280,0.1500
0.200,0.280,0.2433
0.300,0.280,0.3967
0.400,0.280,0.5300
0.500,0.280,0.4667
0.600,0.280,0.5133
0.700,0.280,0.4500
0.800,0.280,0.2833
0.900,0.280,0.1733
1.000,0.280,0.1033
1.100,0.280,0.0933
1.200,0.280,0.1600
1.300,0.280,0.2600
1.400,0.280,0.5700
1.500,0.280,0.4333
1.600,0.280,0.3500
1.700,0.280,0.6367
1.800,0.280,0.4667
1.900,0.280,0.2800
2.000,0.280,0.1333
0.000,0.300,0.0967
0.100,0.300,0.1567
0.200,0.300,0.2567
0.300,0.300,0.4267
0.400,0.300,0.5267
0.500,0.300,0.4700
0.600,0.300,0.5100
0.700,0.300,0.4400
0.800,0.300,0.2733
0.900,0.300,0.1533
1.000,0.300,0.1000
1.100,0.300,0.0933
1.200,0.300,0.1800
1.300,0.300,0.2700
1.400,0.300,0.5800
1.500,0.300,0.4433
1.600,0.300,0.3733
1.700,0.300,0.6433
1.800,0.300,0.4733
1.900,0.300,0.3100
2.000,0.300,0.1633
